DATA MISURA;PRES. SUPERAM.;PARAMETRO;UNITA' MISURA;UBICAZIONE;LONGITUDINE;LATITUDINE;RETE;MEDIA GIORNALIERA;DATI INSUFF.;ATTIVO DAL;ATTIVO FINO AL;PARAM. ABBREV.;UBICAZ. ATT. DAL;UBICAZ. ATT. FINO AL
2005 February 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.07733;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;68.37606;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;63.69556;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;48.55514;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;40.90353;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;32.68213;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;40.70004;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;36.67073;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;51.28205;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;53.64265;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;28.49002;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;49.40984;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;38.46153;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;46.80504;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;70.24826;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;66.38176;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;59.42205;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;44.48514;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;64.06186;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;45.58404;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;46.47944;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.56735;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;75.13226;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;90.67967;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;101.62797;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;105.08748;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;49.73544;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;52.13674;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;67.39926;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;76.35327;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;77.00446;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;46.80504;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;32.51933;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.03052;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.71631;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 March 29;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;21.08262;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
